ID,Issues Detected,Function Name,Demangled Name,Process,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [usecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
0,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[37936] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"24300,    1,    1","  128,    1,    1","4,59,066",333.25,20.49,88.19,24
1,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[37936] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"24300,    1,    1","  128,    1,    1","4,58,010",334.02,20.55,88.05,24
2,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[37936] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"24300,    1,    1","  128,    1,    1","4,58,512",331.58,20.51,88.28,24
3,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[37936] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"24300,    1,    1","  128,    1,    1","4,58,420",332.16,20.51,88.31,24
4,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[37936] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"24300,    1,    1","  128,    1,    1","4,60,733",332.29,20.42,87.84,24
5,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[37936] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"24300,    1,    1","  128,    1,    1","4,61,663",331.87,20.37,87.78,24
6,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[37936] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"24300,    1,    1","  128,    1,    1","4,59,402",332.19,20.47,88.11,24
7,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[37936] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"24300,    1,    1","  128,    1,    1","4,60,308",333.50,20.43,87.91,24
8,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[37936] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"24300,    1,    1","  128,    1,    1","4,58,906",332.90,20.50,88.35,24
9,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[37936] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"24300,    1,    1","  128,    1,    1","4,60,604",331.81,20.42,87.88,24
