ID,Issues Detected,Function Name,Demangled Name,Process,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [usecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
0,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[31592] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"64800,    1,    1","  128,    1,    1","12,28,159",891.20,20.42,88.75,24
1,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[31592] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"64800,    1,    1","  128,    1,    1","12,30,791",887.62,20.37,88.59,24
2,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[31592] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"64800,    1,    1","  128,    1,    1","12,32,680",891.74,20.34,88.42,24
3,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[31592] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"64800,    1,    1","  128,    1,    1","12,32,715",889.95,20.34,88.48,24
4,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[31592] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"64800,    1,    1","  128,    1,    1","12,32,042",889.22,20.35,88.41,24
5,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[31592] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"64800,    1,    1","  128,    1,    1","12,33,293",891.46,20.33,88.34,24
6,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[31592] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"64800,    1,    1","  128,    1,    1","12,33,287",889.31,20.33,88.35,24
7,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[31592] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"64800,    1,    1","  128,    1,    1","12,30,504",888.77,20.38,88.53,24
8,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[31592] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"64800,    1,    1","  128,    1,    1","12,29,702",890.14,20.39,88.63,24
9,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[31592] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"64800,    1,    1","  128,    1,    1","12,24,943",892.64,20.49,88.62,24
