ID,Issues Detected,Function Name,Demangled Name,Process,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [usecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
0,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[14724] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 8192,    1,    1","  128,    1,    1","1,43,925",105.22,10.63,92.22,16
1,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[14724] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 8192,    1,    1","  128,    1,    1","1,43,954",105.54,10.62,91.99,16
2,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[14724] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 8192,    1,    1","  128,    1,    1","1,43,452",104.99,10.68,92.24,16
3,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[14724] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 8192,    1,    1","  128,    1,    1","1,44,381",105.12,10.59,91.85,16
4,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[14724] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 8192,    1,    1","  128,    1,    1","1,42,917",105.09,10.70,92.55,16
5,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[14724] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 8192,    1,    1","  128,    1,    1","1,43,749",105.38,10.64,92.13,16
6,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[14724] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 8192,    1,    1","  128,    1,    1","1,44,047",105.76,10.62,92.01,16
7,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[14724] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 8192,    1,    1","  128,    1,    1","1,44,220",104.77,10.62,91.58,16
8,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[14724] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 8192,    1,    1","  128,    1,    1","1,43,843",105.28,10.63,92.20,16
9,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[14724] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 8192,    1,    1","  128,    1,    1","1,44,199",105.22,10.61,91.85,16
