ID,Issues Detected,Function Name,Demangled Name,Process,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [usecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
0,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[38124] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"64800,    1,    1","  128,    1,    1","11,67,751",844.54,10.36,93.38,16
1,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[38124] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"64800,    1,    1","  128,    1,    1","11,68,282",845.02,10.35,93.36,16
2,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[38124] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"64800,    1,    1","  128,    1,    1","11,71,075",844.42,10.33,93.19,16
3,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[38124] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"64800,    1,    1","  128,    1,    1","11,69,429",846.62,10.34,93.27,16
4,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[38124] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"64800,    1,    1","  128,    1,    1","11,67,519",850.85,10.36,93.41,16
5,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[38124] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"64800,    1,    1","  128,    1,    1","11,68,485",846.14,10.35,93.33,16
6,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[38124] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"64800,    1,    1","  128,    1,    1","11,68,226",844.45,10.35,93.34,16
7,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[38124] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"64800,    1,    1","  128,    1,    1","11,68,779",844.13,10.35,93.30,16
8,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[38124] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"64800,    1,    1","  128,    1,    1","11,70,057",844.10,10.34,93.20,16
9,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[38124] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"64800,    1,    1","  128,    1,    1","11,71,812",845.47,10.32,93.06,16
